folder,loc
.\code_for_parsing\JessYanCoding--ProgressManager,52574
.\code_for_parsing\JetBrains--skija,6091
.\code_for_parsing\jetlinks--jetlinks-community,3989
.\code_for_parsing\jfeinstein10--SlidingMenu,1026
.\code_for_parsing\jfinal--jfinal,15193
.\code_for_parsing\jgilfelt--android-viewbadger,163
.\code_for_parsing\jgilfelt--SystemBarTint,271
.\code_for_parsing\jiangqqlmj--FastDev4Android,7029
.\code_for_parsing\jindrapetrik--jpexs-decompiler,112642
.\code_for_parsing\JingYeoh--FragmentRigger,1280
.\code_for_parsing\jitsi--jitsi,200312
.\code_for_parsing\jjoe64--GraphView,3149
.\code_for_parsing\jMonkeyEngine--jmonkeyengine,117432
.\code_for_parsing\JoanZapata--android-iconify,170
.\code_for_parsing\JoanZapata--android-pdfview,756
.\code_for_parsing\JodaOrg--joda-time,44465
.\code_for_parsing\joelittlejohn--jsonschema2pojo,6825
.\code_for_parsing\johannilsson--android-pulltorefresh,67
.\code_for_parsing\jOOQ--jOOR,785
.\code_for_parsing\journeyapps--zxing-android-embedded,2112
.\code_for_parsing\JPressProjects--jpress,15840
.\code_for_parsing\jpush--aurora-imui,1739
.\code_for_parsing\json-path--JsonPath,3139
.\code_for_parsing\JsonChao--Awesome-WanAndroid,3300
.\code_for_parsing\junit-team--junit4,6979
.\code_for_parsing\junit-team--junit5,34369
.\code_for_parsing\jwtk--jjwt,6487
.\code_for_parsing\JZ-Darkal--AndroidHttpCapture,5124
.\code_for_parsing\k0shk0sh--FastHub,2413
.\code_for_parsing\k9mail--k-9,6720
.\code_for_parsing\karatelabs--karate,9896
.\code_for_parsing\Karumi--Dexter,1090
.\code_for_parsing\kaushikgopal--RxJava-Android-Samples,187
.\code_for_parsing\kdn251--interviews,3430
.\code_for_parsing\KeepSafe--dexcount-gradle-plugin,1400
.\code_for_parsing\KeepSafe--ReLinker,392
.\code_for_parsing\kekingcn--kkFileView,1652
.\code_for_parsing\kevin-wayne--algs4,26408
.\code_for_parsing\keyboardsurfer--Crouton,995
.\code_for_parsing\keycloak--keycloak,144087
.\code_for_parsing\kiegroup--drools,164582
.\code_for_parsing\kikoso--android-stackblur,117
.\code_for_parsing\killbill--killbill,35228
.\code_for_parsing\killme2008--aviatorscript,11011
.\code_for_parsing\KingJA--LoadSir,366
.\code_for_parsing\knightliao--disconf,7798
.\code_for_parsing\Kong--unirest-java,8910
.\code_for_parsing\konifar--android-material-design-icon-generator-plugin,95
.\code_for_parsing\Konloch--bytecode-viewer,7956
.\code_for_parsing\koral----android-gif-drawable,1490
.\code_for_parsing\koush--AndroidAsync,3066
.\code_for_parsing\koush--ion,2062
.\code_for_parsing\Krupen--FabulousFilter,166
.\code_for_parsing\ksoichiro--Android-ObservableScrollView,2658
.\code_for_parsing\KunMinX--Linkage-RecyclerView,810
.\code_for_parsing\LaiFeng-Android--SopCastComponent,2006
.\code_for_parsing\LandGrey--SpringBootVulExploit,5
.\code_for_parsing\languagetool-org--languagetool,51654
.\code_for_parsing\laobie--StatusBarUtil,326
.\code_for_parsing\lbryio--lbry-android,662
.\code_for_parsing\lcodecorex--TwinklingRefreshLayout,757
.\code_for_parsing\ldoublem--LoadingView,112
.\code_for_parsing\lenve--JavaEETest,452
.\code_for_parsing\lenve--VBlog,136
.\code_for_parsing\lenve--vhr,387
.\code_for_parsing\leolin310148--ShortcutBadger,240
.\code_for_parsing\lets-blade--blade,6171
.\code_for_parsing\lgvalle--Material-Animations,54
.\code_for_parsing\li-xiaojun--XPopup,1990
.\code_for_parsing\liaohuqiu--android-Ultra-Pull-To-Refresh,642
.\code_for_parsing\libgdx--libgdx,60532
.\code_for_parsing\lightbend--config,4786
.\code_for_parsing\lihangleo2--ShadowLayout,157
.\code_for_parsing\lihengming--spring-boot-api-project-seed,71
.\code_for_parsing\lingochamp--FileDownloader,5340
.\code_for_parsing\linkedin--datahub,3882
.\code_for_parsing\linlinjava--litemall,40844
.\code_for_parsing\LinShunKang--MyPerf4J,1065
.\code_for_parsing\lipangit--JiaoZiVideoPlayer,250
.\code_for_parsing\litesuits--android-common,5695
.\code_for_parsing\liuyangming--ByteTCC,2070
.\code_for_parsing\liyifeng1994--ssm,107
.\code_for_parsing\lizhangqu--CoreLink,0
.\code_for_parsing\LMAX-Exchange--disruptor,6766
.\code_for_parsing\lottie-react-native--lottie-react-native,35
.\code_for_parsing\lovetuzitong--MultiImageSelector,153
.\code_for_parsing\LSPosed--LSPosed,4760
.\code_for_parsing\ltsopensource--light-task-scheduler,7091
.\code_for_parsing\lucasr--twoway-view,414
.\code_for_parsing\LuckSiege--PictureSelector,8490
.\code_for_parsing\luckybilly--CC,1218
.\code_for_parsing\lygttpod--SuperTextView,1414
.\code_for_parsing\lzyzsd--CircleProgress,225
.\code_for_parsing\lzyzsd--JsBridge,168
.\code_for_parsing\M66B--FairEmail,51085
.\code_for_parsing\M66B--NetGuard,949
.\code_for_parsing\macrozheng--mall,2900
.\code_for_parsing\macrozheng--mall-learning,1380
.\code_for_parsing\MagicMashRoom--SuperCalendar,314
.\code_for_parsing\makovkastar--FloatingActionButton,16
.\code_for_parsing\Malinskiy--SuperRecyclerView,267
.\code_for_parsing\Manabu-GT--ExpandableTextView,74
.\code_for_parsing\ManuelPeinado--FadingActionBar,279
.\code_for_parsing\markushi--android-ui,124
.\code_for_parsing\markzhai--AndroidPerformanceMonitor,463
.\code_for_parsing\Marswin--MarsDaemon,294
.\code_for_parsing\material-components--material-components-android,29887
.\code_for_parsing\mcxiaoke--packer-ng-plugin,408
.\code_for_parsing\mcxtzhang--ZLayoutManager,414
.\code_for_parsing\medcl--elasticsearch-analysis-pinyin,100
.\code_for_parsing\meefik--linuxdeploy,670
.\code_for_parsing\Meituan-Dianping--Leaf,85
.\code_for_parsing\Meituan-Dianping--Robust,615
.\code_for_parsing\Meituan-Dianping--walle,3116
.\code_for_parsing\mercyblitz--tech-weekly,199
.\code_for_parsing\metersphere--metersphere,8149
.\code_for_parsing\micrometer-metrics--micrometer,20629
.\code_for_parsing\micronaut-projects--micronaut-core,84807
.\code_for_parsing\microservices-patterns--ftgo-application,173
.\code_for_parsing\microsoft--malmo,5096
.\code_for_parsing\MiguelCatalan--MaterialSearchView,147
.\code_for_parsing\MindorksOpenSource--android-interview-questions,0
.\code_for_parsing\MindorksOpenSource--from-java-to-kotlin,0
.\code_for_parsing\MindorksOpenSource--PRDownloader,827
.\code_for_parsing\MinecraftForge--MinecraftForge,27110
.\code_for_parsing\mmin18--RealtimeBlurView,53
.\code_for_parsing\mockito--mockito,19351
.\code_for_parsing\Mojang--brigadier,426
.\code_for_parsing\motianhuo--wechat,2602
.\code_for_parsing\mqzhangw--JIMU,1016
.\code_for_parsing\mrniko--netty-socketio,2510
